Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Tea, iced, brewed, green, pre-sweetened with low calorie sweetener",Tea,2,0.22,0.38,0.33,0.0,0.0,0.0,0.0,0.0,0,0.007,0.058,0.03,0.005,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.02,0.01,0.004,8,1,12,0,0.0,99.55
"Tea, iced, brewed, green, unsweetened",Tea,1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.007,0.058,0.03,0.005,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.02,0.01,0.004,8,1,12,0,0.0,99.93
"Tea, iced, brewed, green, decaffeinated, pre-sweetened with sugar",Tea,30,0.0,7.66,7.68,0.0,0.02,0.0,0.0,0.0,0,0.006,0.055,0.028,0.005,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.01,0.005,14,0,0,0,0.0,92.24
"Tea, iced, brewed, green, decaffeinated, pre-sweetened with low calorie sweetener",Tea,1,0.0,0.38,0.33,0.0,0.0,0.0,0.0,0.0,0,0.007,0.058,0.03,0.005,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.01,0.005,15,0,0,0,0.0,99.55
"Tea, iced, brewed, green, decaffeinated, unsweetened",Tea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.007,0.058,0.03,0.005,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.01,0.005,15,0,0,0,0.0,99.93
"Tea, iced, bottled, black",Tea,45,0.0,10.8,9.49,0.0,0.22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,0.01,0.006,14,3,9,0,0.0,88.95
"Tea, iced, bottled, black, decaffeinated",Tea,38,0.0,8.75,7.92,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11,4,2,0.0,0.01,0.008,27,8,1,1,0.0,91.22
"Tea, iced, bottled, black, diet",Tea,1,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,33,0,0.0,0.0,0.005,14,17,2,0,0.0,99.72
"Tea, iced, bottled, black, decaffeinated, diet",Tea,0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11,4,2,0.0,0.01,0.008,27,4,1,1,0.0,99.14
"Tea, iced, bottled, black, unsweetened",Tea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,2,11,0,0.0,97.89
