Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Buttermilk, reduced fat (2%)","Milk, reduced fat",56,4.1,5.3,5.3,0.0,2.0,1.242,0.576,0.071,8,0.05,0.21,0.1,0.03,0,16.0,1.5,0.0,0.11,0.0,143,82,13,0.06,0.24,0.008,180,105,0,0,0.0,87.7
"Buttermilk, whole","Milk, whole",62,3.21,4.88,4.88,0.0,3.31,1.899,0.827,0.198,11,0.047,0.172,0.09,0.036,0,14.6,0.0,1.3,0.07,0.0,115,85,10,0.03,0.38,0.025,135,105,0,0,0.0,87.91
"Kefir, NS as to fat content","Milk, lowfat",52,3.59,7.48,6.91,0.0,0.96,0.596,0.286,0.047,5,0.03,0.172,0.128,0.059,0,15.2,0.8,1.0,0.04,0.0,124,100,12,0.04,0.45,0.009,159,38,0,0,0.0,87.26
"Goat's milk, whole","Milk, whole",69,3.56,4.45,4.45,0.0,4.14,2.667,1.109,0.149,11,0.048,0.138,0.277,0.046,0,16.0,1.3,1.3,0.07,0.0,134,111,14,0.05,0.3,0.046,204,50,0,0,0.0,87.03
"Milk, dry, reconstituted, NS as to fat content","Milk, nonfat",32,3.2,4.6,4.6,0.0,0.07,0.044,0.018,0.003,2,0.037,0.137,0.084,0.032,0,15.0,0.6,1.0,0.0,0.0,114,86,11,0.03,0.37,0.013,159,51,0,0,0.0,91.34
"Milk, dry, reconstituted, whole","Milk, whole",76,4.01,5.86,5.86,0.0,4.08,2.554,1.209,0.101,15,0.043,0.184,0.099,0.046,0,18.2,1.3,1.6,0.09,0.0,142,118,14,0.07,0.52,0.021,203,60,0,0,0.0,85.04
"Milk, dry, reconstituted, low fat (1%)","Milk, lowfat",40,3.17,4.55,4.55,0.0,1.01,0.633,0.291,0.038,4,0.036,0.136,0.083,0.032,0,15.0,0.6,1.0,0.03,0.0,113,85,11,0.03,0.37,0.013,157,51,0,0,0.0,90.48
"Milk, dry, reconstituted, fat free (skim)","Milk, nonfat",32,3.2,4.6,4.6,0.0,0.07,0.044,0.018,0.003,2,0.037,0.137,0.084,0.032,0,15.0,0.6,0.0,0.0,0.0,114,86,11,0.03,0.37,0.013,159,51,0,0,0.0,91.34
"Milk, evaporated, NS as to fat content","Milk, whole",134,6.81,10.04,10.04,0.0,7.56,4.591,2.335,0.245,29,0.047,0.316,0.194,0.05,0,31.8,1.9,2.0,0.14,0.0,261,203,24,0.19,0.77,0.016,303,106,0,0,0.0,74.04
"Milk, evaporated, whole","Milk, whole",134,6.81,10.04,10.04,0.0,7.56,4.591,2.335,0.245,29,0.047,0.316,0.194,0.05,0,31.8,1.9,2.0,0.14,0.0,261,203,24,0.19,0.77,0.016,303,106,0,0,0.0,74.04
"Milk, evaporated, reduced fat (2%)","Milk, reduced fat",92,7.42,11.15,11.15,0.0,1.96,1.214,0.569,0.071,8,0.044,0.304,0.171,0.054,0,25.1,1.2,2.0,0.05,0.0,285,192,27,0.28,0.88,0.016,326,113,0,0,0.0,78.0
"Milk, evaporated, fat free (skim)","Milk, nonfat",78,7.55,11.35,11.35,0.0,0.2,0.121,0.062,0.006,4,0.045,0.309,0.174,0.055,0,25.2,1.2,2.0,0.0,0.0,290,195,27,0.29,0.9,0.016,332,115,0,0,0.0,79.4
"Milk, condensed, sweetened","Flavored milk, whole",321,7.91,54.4,54.4,0.0,8.7,5.486,2.427,0.337,34,0.09,0.416,0.21,0.051,0,89.1,2.6,0.2,0.16,0.0,284,253,26,0.19,0.94,0.015,371,127,0,0,0.0,27.16
"Non-dairy milk, NFS",Milk substitutes,29,1.04,3.75,3.03,0.2,1.17,0.237,0.485,0.408,0,0.009,0.062,0.171,0.009,0,9.0,0.0,1.0,1.8,1.76,164,19,8,0.32,0.12,0.062,80,60,0,0,0.0,93.33
Soy milk,Milk substitutes,43,2.6,4.92,3.65,0.2,1.47,0.205,0.382,0.858,0,0.029,0.184,0.425,0.031,0,23.6,0.0,1.1,0.11,0.0,123,43,15,0.42,0.26,0.165,122,47,0,0,0.0,90.36
"Soy milk, light",Milk substitutes,30,2.38,3.51,2.61,0.3,0.77,0.005,0.202,0.426,0,0.037,0.201,0.222,0.016,0,12.3,0.0,1.2,0.06,0.0,123,87,15,0.43,0.23,0.086,117,48,0,0,0.0,92.69
"Soy milk, nonfat",Milk substitutes,28,2.47,4.14,3.65,0.2,0.04,0.0,0.0,0.036,0,0.022,0.174,0.323,0.024,0,17.9,0.0,1.0,0.08,0.0,116,87,10,0.35,0.1,0.125,105,57,0,0,0.0,92.67
"Soy milk, chocolate",Milk substitutes,63,2.26,9.95,7.86,0.4,1.53,0.24,0.379,0.836,0,0.022,0.262,0.513,0.077,0,23.6,1.7,1.0,0.11,0.0,126,51,15,0.48,0.34,0.206,143,53,2,23,0.0,85.61
"Soy milk, light, chocolate",Milk substitutes,47,2.1,8.24,7.13,0.7,0.64,0.032,0.037,0.405,0,0.037,0.201,0.512,0.037,0,28.4,0.0,1.2,0.13,0.0,123,87,15,0.59,0.23,0.199,144,46,2,19,0.0,88.38
"Soy milk, nonfat, chocolate",Milk substitutes,47,2.1,8.24,7.13,0.7,0.64,0.032,0.037,0.405,0,0.037,0.201,0.512,0.037,0,28.4,0.0,1.2,0.13,0.0,123,87,15,0.59,0.23,0.199,144,46,2,19,0.0,88.38
"Almond milk, sweetened",Milk substitutes,30,0.38,5.24,4.77,0.2,0.93,0.077,0.566,0.23,0,0.0,0.01,0.067,0.0,0,3.0,0.0,1.0,2.7,2.7,177,9,6,0.27,0.06,0.019,64,69,0,0,0.0,92.68
"Almond milk, sweetened, chocolate",Milk substitutes,41,0.43,8.34,7.72,0.3,0.95,0.098,0.561,0.224,0,0.0,0.011,0.071,0.0,0,2.9,0.0,0.9,2.61,2.6,171,11,7,0.3,0.08,0.03,67,67,1,6,0.0,89.52
"Almond milk, unsweetened",Milk substitutes,15,0.4,1.31,0.81,0.2,0.96,0.08,0.59,0.24,0,0.0,0.01,0.07,0.0,0,3.1,0.0,1.0,2.81,2.81,184,9,6,0.28,0.06,0.02,67,72,0,0,0.0,96.54
"Almond milk, unsweetened, chocolate",Milk substitutes,16,0.46,1.48,0.81,0.3,1.0,0.104,0.602,0.241,0,0.0,0.011,0.076,0.0,0,3.1,0.0,1.0,2.8,2.8,184,11,7,0.32,0.08,0.031,71,72,1,6,0.0,96.26
Rice milk,Milk substitutes,47,0.28,9.17,5.28,0.3,0.97,0.0,0.625,0.313,0,0.027,0.142,0.39,0.039,0,2.1,0.0,1.0,0.47,0.13,118,56,11,0.2,0.13,0.037,27,39,0,0,0.0,89.28
Coconut milk,Milk substitutes,31,0.21,2.92,2.5,0.0,2.08,2.083,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,188,0,0,0.3,0.0,0.0,19,19,0,0,0.0,94.57
"Yogurt, NFS","Yogurt, regular",63,5.25,7.04,7.04,0.0,1.55,1.0,0.426,0.044,6,0.044,0.214,0.114,0.049,0,15.2,0.8,1.2,0.03,0.0,183,144,17,0.08,0.89,0.013,234,70,0,0,0.0,85.06
"Yogurt, Greek, NS as to type of milk or flavor","Yogurt, Greek",73,9.95,3.94,3.56,0.0,1.92,1.23,0.486,0.076,10,0.044,0.233,0.197,0.055,0,15.2,0.8,0.0,0.04,0.0,115,137,11,0.04,0.6,0.021,141,34,0,0,0.0,83.56
"Yogurt, NS as to type of milk or flavor","Yogurt, regular",63,5.25,7.04,7.04,0.0,1.55,1.0,0.426,0.044,6,0.044,0.214,0.114,0.049,0,15.2,0.8,1.2,0.03,0.0,183,144,17,0.08,0.89,0.013,234,70,0,0,0.0,85.06
"Yogurt, NS as to type of milk, plain","Yogurt, regular",63,5.25,7.04,7.04,0.0,1.55,1.0,0.426,0.044,6,0.044,0.214,0.114,0.049,0,15.2,0.8,1.2,0.03,0.0,183,144,17,0.08,0.89,0.013,234,70,0,0,0.0,85.06
"Yogurt, whole milk, plain","Yogurt, regular",61,3.47,4.66,4.66,0.0,3.25,2.096,0.893,0.092,13,0.029,0.142,0.075,0.032,0,15.2,0.5,1.2,0.06,0.0,121,95,12,0.05,0.59,0.009,155,46,0,0,0.0,87.89
"Yogurt, low fat milk, plain","Yogurt, regular",63,5.25,7.04,7.04,0.0,1.55,1.0,0.426,0.044,6,0.044,0.214,0.114,0.049,0,15.2,0.8,1.2,0.03,0.0,183,144,17,0.08,0.89,0.013,234,70,0,0,0.0,85.06
"Yogurt, nonfat milk, plain","Yogurt, regular",56,5.73,7.68,7.68,0.0,0.18,0.116,0.049,0.005,2,0.048,0.234,0.124,0.053,0,15.2,0.9,1.2,0.0,0.0,199,157,19,0.09,0.97,0.015,255,77,0,0,0.0,85.22
"Yogurt, Greek, NS as to type of milk, plain","Yogurt, Greek",73,9.95,3.94,3.56,0.0,1.92,1.23,0.486,0.076,10,0.044,0.233,0.197,0.055,0,15.2,0.8,0.0,0.04,0.0,115,137,11,0.04,0.6,0.021,141,34,0,0,0.0,83.56
"Yogurt, Greek, whole milk, plain","Yogurt, Greek",97,9.0,3.98,4.0,0.0,5.0,2.395,2.136,0.469,13,0.023,0.278,0.208,0.063,0,15.1,0.0,0.0,0.01,0.0,100,135,11,0.0,0.52,0.017,141,35,0,0,0.0,81.3
"Yogurt, Greek, low fat milk, plain","Yogurt, Greek",73,9.95,3.94,3.56,0.0,1.92,1.23,0.486,0.076,10,0.044,0.233,0.197,0.055,0,15.2,0.8,0.0,0.04,0.0,115,137,11,0.04,0.6,0.021,141,34,0,0,0.0,83.56
"Yogurt, Greek, nonfat milk, plain","Yogurt, Greek",61,10.3,3.64,3.27,0.0,0.37,0.108,0.043,0.011,5,0.022,0.281,0.211,0.064,0,15.1,0.0,0.0,0.01,0.0,111,136,11,0.07,0.53,0.017,141,36,0,0,0.0,85.0
"Yogurt, NS as to type of milk, fruit","Yogurt, regular",89,4.66,14.46,12.01,0.1,1.37,0.881,0.379,0.039,5,0.041,0.197,0.105,0.046,0,14.6,1.8,1.2,0.04,0.0,163,129,15,0.13,0.79,0.023,215,65,0,0,0.0,78.51
"Yogurt, whole milk, fruit","Yogurt, regular",87,3.1,12.36,9.92,0.1,2.87,1.845,0.79,0.081,11,0.027,0.134,0.07,0.031,0,14.6,1.5,1.2,0.07,0.0,109,86,11,0.1,0.53,0.02,146,44,0,0,0.0,81.0
"Yogurt, low fat milk, fruit","Yogurt, regular",89,4.66,14.46,12.01,0.1,1.37,0.881,0.379,0.039,5,0.041,0.197,0.105,0.046,0,14.6,1.8,1.2,0.04,0.0,163,129,15,0.13,0.79,0.023,215,65,0,0,0.0,78.51
"Yogurt, nonfat milk, fruit","Yogurt, regular",83,5.09,15.02,12.58,0.1,0.17,0.103,0.048,0.004,2,0.044,0.215,0.113,0.049,0,14.6,1.8,1.2,0.01,0.0,177,140,17,0.14,0.86,0.025,234,72,0,0,0.0,78.65
"Yogurt, Greek, NS as to type of milk, fruit","Yogurt, Greek",105,8.17,12.29,11.23,1.0,2.57,1.599,0.65,0.113,12,0.037,0.235,0.205,0.049,0,14.0,0.7,0.9,0.02,0.0,88,109,10,0.07,0.41,0.019,129,33,0,0,0.0,76.41
"Yogurt, Greek, whole milk, fruit","Yogurt, Greek",106,7.33,12.29,12.0,0.0,3.0,1.599,1.265,0.219,10,0.046,0.235,0.205,0.049,0,14.3,0.0,0.9,0.07,0.0,100,109,10,0.0,0.41,0.019,113,37,0,0,0.0,76.81
"Yogurt, Greek, low fat milk, fruit","Yogurt, Greek",105,8.17,12.29,11.23,1.0,2.57,1.599,0.65,0.113,12,0.037,0.235,0.205,0.049,0,14.0,0.7,0.9,0.02,0.0,88,109,10,0.07,0.41,0.019,129,33,0,0,0.0,76.41
"Yogurt, Greek, nonfat milk, fruit","Yogurt, Greek",83,8.06,12.2,11.5,0.6,0.15,0.103,0.029,0.021,4,0.037,0.25,0.208,0.05,0,14.0,0.2,0.9,0.02,0.0,97,113,10,0.09,0.46,0.02,133,32,0,0,0.0,79.0
"Yogurt, NS as to type of milk, flavors other than fruit","Yogurt, regular",73,5.09,9.82,9.82,0.0,1.51,0.97,0.413,0.043,6,0.043,0.208,0.111,0.048,0,14.7,0.8,1.2,0.03,0.0,178,140,16,0.08,0.86,0.013,227,68,0,0,0.0,82.51
"Yogurt, whole milk, flavors other than fruit","Yogurt, regular",77,3.3,9.41,9.42,0.0,3.1,1.991,0.848,0.087,12,0.028,0.136,0.071,0.03,0,14.4,0.5,1.2,0.06,0.0,115,90,11,0.05,0.56,0.009,147,44,0,0,0.0,83.5
"Yogurt, low fat milk, flavors other than fruit","Yogurt, regular",73,5.09,9.82,9.82,0.0,1.51,0.97,0.413,0.043,6,0.043,0.208,0.111,0.048,0,14.7,0.8,1.2,0.03,0.0,178,140,16,0.08,0.86,0.013,227,68,0,0,0.0,82.51
"Yogurt, nonfat milk, flavors other than fruit","Yogurt, regular",66,5.56,10.44,10.44,0.0,0.18,0.113,0.048,0.005,2,0.047,0.228,0.12,0.051,0,14.7,0.9,1.2,0.0,0.0,193,152,18,0.09,0.94,0.015,247,75,0,0,0.0,82.66
"Yogurt, Greek, NS as to type of milk, flavors other than fruit","Yogurt, Greek",95,8.64,9.54,9.54,0.0,2.5,1.465,0.846,0.203,5,0.038,0.24,0.201,0.05,0,33.4,0.0,0.9,0.02,0.0,100,119,10,0.04,0.46,0.018,123,40,0,0,0.0,78.76
"Yogurt, Greek, whole milk, flavors other than fruit","Yogurt, Greek",111,8.47,9.35,9.35,0.0,4.44,2.674,1.404,0.273,10,0.037,0.235,0.197,0.049,0,33.2,0.0,0.9,0.08,0.0,98,117,10,0.04,0.45,0.018,121,39,0,0,0.0,77.19
"Yogurt, Greek, low fat milk, flavors other than fruit","Yogurt, Greek",95,8.64,9.54,9.54,0.0,2.5,1.465,0.846,0.203,5,0.038,0.24,0.201,0.05,0,33.4,0.0,0.9,0.02,0.0,100,119,10,0.04,0.46,0.018,123,40,0,0,0.0,78.76
"Yogurt, Greek, nonfat milk, flavors other than fruit","Yogurt, Greek",78,8.64,10.37,9.54,0.5,0.18,0.133,0.039,0.009,3,0.042,0.24,0.201,0.05,0,15.2,0.0,0.9,0.02,0.0,99,119,10,0.04,0.46,0.018,123,34,0,0,0.0,80.26
"Yogurt, Greek, with oats","Yogurt, Greek",160,8.9,22.38,12.07,1.9,4.29,1.478,1.629,0.915,4,0.094,0.23,0.511,0.077,0,31.8,0.1,0.7,0.24,0.0,96,165,27,0.64,0.75,0.063,184,53,0,0,0.0,63.61
"Yogurt, liquid","Yogurt, regular",72,3.71,11.81,9.78,0.1,1.09,0.701,0.302,0.031,4,0.032,0.157,0.083,0.036,0,11.7,1.4,1.2,0.03,0.0,131,103,12,0.1,0.63,0.021,171,53,0,0,0.0,82.57
"Chipotle dip, yogurt based","Dips, gravies, other sauces",189,7.93,3.33,2.97,0.0,15.99,3.219,3.638,8.716,16,0.037,0.186,0.177,0.054,0,18.6,3.4,0.0,0.68,0.0,92,111,9,0.09,0.5,0.022,119,636,0,0,0.0,70.61
"Dill dip, yogurt based","Dips, gravies, other sauces",191,8.16,3.76,2.99,0.3,16.03,3.232,3.645,8.742,16,0.038,0.207,0.25,0.054,0,19.4,1.9,0.0,0.75,0.0,103,115,13,0.29,0.55,0.028,141,641,0,0,0.0,69.81
"Onion dip, yogurt based","Dips, gravies, other sauces",159,6.82,4.07,3.38,0.2,12.88,2.713,2.928,6.865,14,0.041,0.168,0.147,0.054,0,17.7,1.1,0.2,0.53,0.0,93,105,10,0.08,0.47,0.019,126,507,0,0,0.0,74.42
"Ranch dip, yogurt based","Dips, gravies, other sauces",195,8.48,4.13,3.41,0.3,16.09,3.267,3.661,8.744,17,0.042,0.222,0.257,0.056,0,20.5,1.9,0.0,0.75,0.0,114,123,14,0.29,0.58,0.029,154,646,0,0,0.0,69.0
"Spinach dip, yogurt based","Dips, gravies, other sauces",158,7.02,3.6,3.04,0.3,12.94,2.721,2.927,6.892,14,0.043,0.179,0.17,0.054,0,19.1,0.7,0.2,0.8,0.0,103,106,15,0.21,0.49,0.028,136,514,0,0,0.0,74.55
Tzatziki dip,"Dips, gravies, other sauces",92,5.35,3.95,2.92,0.2,6.31,1.838,3.724,0.641,7,0.025,0.169,0.16,0.06,0,11.0,2.0,0.0,0.52,0.0,64,86,11,0.14,0.38,0.027,139,307,0,0,0.0,83.08
"Vegetable dip, yogurt based","Dips, gravies, other sauces",191,8.16,3.76,2.99,0.3,16.03,3.232,3.645,8.742,16,0.038,0.207,0.25,0.054,0,19.4,1.9,0.0,0.75,0.0,103,115,13,0.29,0.55,0.028,141,641,0,0,0.0,69.81
"Yogurt parfait, low fat, with fruit","Yogurt, regular",84,3.36,15.86,11.68,1.1,1.01,0.525,0.307,0.122,3,0.07,0.173,0.714,0.233,38,11.9,14.3,1.2,0.25,0.0,105,93,17,0.49,0.89,0.054,189,49,0,0,0.0,78.97
"Frozen yogurt, NFS",Ice cream and frozen dairy desserts,127,3.0,21.6,19.92,0.0,3.6,2.326,0.986,0.1,13,0.04,0.18,0.07,0.04,0,23.1,0.7,0.1,0.09,0.0,100,89,10,0.46,0.28,0.009,156,63,0,0,0.0,71.2
"Frozen yogurt, vanilla",Ice cream and frozen dairy desserts,127,3.0,21.6,19.92,0.0,3.6,2.326,0.986,0.1,13,0.04,0.18,0.07,0.04,0,23.1,0.7,0.1,0.09,0.0,100,89,10,0.46,0.28,0.009,156,63,0,0,0.0,71.2
"Frozen yogurt, chocolate",Ice cream and frozen dairy desserts,131,3.0,21.6,19.24,2.3,3.6,2.272,0.961,0.102,13,0.04,0.18,0.14,0.04,0,14.1,0.0,0.1,0.09,0.0,100,89,25,0.46,0.28,0.054,234,63,3,106,0.0,71.2
"Frozen yogurt, soft serve, vanilla",Ice cream and frozen dairy desserts,159,4.0,24.2,24.0,0.0,5.6,3.42,1.59,0.21,2,0.037,0.224,0.287,0.08,0,20.2,0.8,0.1,0.11,0.0,143,129,14,0.3,0.42,0.04,211,87,0,0,0.0,65.3
"Frozen yogurt, soft serve, chocolate",Ice cream and frozen dairy desserts,160,4.31,24.87,23.56,0.7,5.76,3.513,1.65,0.215,2,0.038,0.224,0.325,0.081,0,20.0,0.8,0.1,0.11,0.0,143,141,24,0.57,0.55,0.115,237,86,5,41,0.0,64.05
Frozen yogurt sandwich,Ice cream and frozen dairy desserts,204,3.9,34.38,24.3,0.8,6.25,2.805,1.956,1.113,10,0.081,0.202,0.767,0.043,10,20.9,0.5,0.1,0.25,0.0,83,100,21,1.35,0.48,0.123,170,192,2,88,0.0,54.52
"Frozen yogurt bar, vanilla",Ice cream and frozen dairy desserts,127,3.0,21.6,19.92,0.0,3.6,2.326,0.986,0.1,13,0.04,0.18,0.07,0.04,0,23.1,0.7,0.1,0.09,0.0,100,89,10,0.46,0.28,0.009,156,63,0,0,0.0,71.2
"Frozen yogurt bar, chocolate",Ice cream and frozen dairy desserts,131,3.0,21.6,19.24,2.3,3.6,2.272,0.961,0.102,13,0.04,0.18,0.14,0.04,0,14.1,0.0,0.1,0.09,0.0,100,89,25,0.46,0.28,0.054,234,63,3,106,0.0,71.2
"Frozen yogurt cone, chocolate",Ice cream and frozen dairy desserts,142,3.2,23.9,18.71,2.3,3.73,2.23,0.996,0.228,12,0.048,0.187,0.311,0.04,7,13.9,0.0,0.1,0.12,0.0,97,89,25,0.59,0.3,0.06,229,71,3,102,0.0,68.56
"Frozen yogurt cone, vanilla",Ice cream and frozen dairy desserts,139,3.2,23.9,19.36,0.1,3.73,2.282,1.02,0.227,12,0.048,0.187,0.244,0.04,7,22.6,0.7,0.1,0.12,0.0,97,89,11,0.59,0.3,0.017,154,71,0,0,0.0,68.56
"Frozen yogurt cone, vanilla, waffle cone",Ice cream and frozen dairy desserts,143,3.29,25.28,20.26,0.1,3.61,2.223,1.014,0.18,12,0.068,0.193,0.364,0.041,8,22.2,0.7,0.1,0.09,0.0,97,90,11,0.69,0.31,0.024,155,77,0,0,0.0,67.19
"Frozen yogurt cone, chocolate, waffle cone",Ice cream and frozen dairy desserts,147,3.29,25.28,19.62,2.3,3.61,2.172,0.991,0.181,12,0.068,0.193,0.43,0.041,8,13.8,0.0,0.1,0.09,0.0,97,90,25,0.69,0.31,0.067,229,77,3,100,0.0,67.19
"Yogurt, whole milk, baby food",Baby food: yogurt,61,3.47,4.66,4.66,0.0,3.25,2.096,0.893,0.092,13,0.029,0.142,0.075,0.032,0,15.2,0.5,1.2,0.06,0.0,121,95,12,0.05,0.59,0.009,155,46,0,0,0.0,87.89
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",Baby food: yogurt,98,3.4,13.22,11.46,0.3,3.53,1.84,0.916,0.367,14,0.047,0.129,0.119,0.034,0,14.2,1.4,0.1,0.07,0.0,107,95,15,0.15,0.59,0.023,149,41,0,0,0.0,79.16
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",Baby food: yogurt,92,3.05,13.0,11.46,0.6,3.08,1.582,0.74,0.405,10,0.048,0.12,0.119,0.036,0,13.4,3.6,0.0,0.09,0.0,98,86,15,4.18,0.54,0.031,143,38,0,0,0.0,80.21
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",Baby food: yogurt,98,3.4,13.22,11.46,0.3,3.53,1.84,0.916,0.367,14,0.047,0.129,0.119,0.034,0,14.2,1.4,0.1,0.07,0.0,107,95,15,0.15,0.59,0.023,149,41,0,0,0.0,79.16
"Chocolate milk, NFS","Flavored milk, nonfat",67,3.39,13.46,8.39,0.0,0.0,0.0,0.0,0.0,2,0.045,0.166,0.164,0.024,0,15.6,1.0,1.1,0.04,0.0,127,101,13,0.27,0.41,0.075,182,79,1,22,0.0,82.34
"Chocolate milk, ready to drink, whole","Flavored milk, whole",83,3.17,10.34,9.54,0.8,3.39,2.104,0.99,0.124,12,0.037,0.162,0.125,0.04,0,17.0,0.9,1.3,0.07,0.0,112,101,13,0.24,0.41,0.065,167,60,1,23,0.0,82.3
"Chocolate milk, ready to drink, reduced fat","Flavored milk, reduced fat",76,2.99,12.13,9.55,0.7,1.9,1.177,0.455,0.089,8,0.045,0.183,0.164,0.024,0,17.1,0.0,1.2,0.04,0.0,109,102,14,0.24,0.39,0.075,169,66,1,22,0.0,82.17
"Chocolate milk, ready to drink, fat free","Flavored milk, nonfat",67,3.39,13.46,8.39,0.0,0.0,0.0,0.0,0.0,2,0.045,0.166,0.164,0.024,0,15.6,1.0,1.1,0.04,0.0,127,101,13,0.27,0.41,0.075,182,79,1,22,0.0,82.34
"Chocolate milk, ready to drink, low fat","Flavored milk, lowfat",64,3.46,10.15,9.94,0.1,1.11,0.616,0.3,0.049,5,0.031,0.247,0.124,0.047,0,17.0,0.4,1.1,0.0,0.0,129,96,13,0.23,0.43,0.028,172,65,1,12,0.0,84.5
"Chocolate milk, ready to drink, reduced sugar, NS as to milk","Flavored milk, lowfat",57,3.43,7.68,7.29,0.0,1.04,0.616,0.29,0.054,5,0.035,0.225,0.122,0.05,0,15.2,0.0,1.5,0.0,0.0,122,98,13,0.16,0.46,0.018,168,66,0,6,0.0,87.09
"Chocolate milk, ready to drink, low fat (Nesquik)","Flavored milk, lowfat",64,3.46,10.15,9.94,0.1,1.11,0.616,0.3,0.049,5,0.031,0.247,0.124,0.047,0,17.0,0.4,1.1,0.0,0.0,129,96,13,0.23,0.43,0.028,172,65,1,12,0.0,84.5
"Chocolate milk, ready to drink, fat free (Nesquik)","Flavored milk, nonfat",67,3.39,13.46,8.39,0.0,0.0,0.0,0.0,0.0,2,0.045,0.166,0.164,0.024,0,15.6,1.0,1.1,0.04,0.0,127,101,13,0.27,0.41,0.075,182,79,1,22,0.0,82.34
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)","Flavored milk, lowfat",64,3.46,10.15,9.94,0.1,1.11,0.616,0.3,0.049,5,0.031,0.247,0.124,0.047,0,17.0,0.4,1.1,0.0,0.0,129,96,13,0.23,0.43,0.028,172,65,1,12,0.0,84.5
"Hot chocolate / Cocoa, ready to drink","Flavored milk, reduced fat",91,2.72,16.54,15.18,0.0,1.54,0.903,0.325,0.047,7,0.047,0.117,0.123,0.049,0,14.2,0.2,0.9,0.03,0.0,102,95,17,0.0,0.45,0.058,152,60,3,30,0.0,78.43
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk","Flavored milk, nonfat",78,2.79,16.52,15.31,0.0,0.06,0.04,0.014,0.005,2,0.044,0.112,0.128,0.046,0,14.2,0.0,0.9,0.0,0.0,107,98,18,0.0,0.47,0.059,159,61,3,30,0.0,79.81
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",Milk substitutes,80,1.21,16.68,14.62,0.2,0.98,0.115,0.386,0.442,0,0.013,0.085,0.232,0.014,0,11.0,0.0,0.8,1.14,1.1,122,32,16,0.28,0.23,0.132,99,75,3,30,0.0,80.39
"Hot chocolate / Cocoa, ready to drink, with whipped cream","Flavored milk, reduced fat",103,2.73,15.89,14.6,0.0,3.18,1.952,0.742,0.119,12,0.045,0.121,0.121,0.048,0,14.4,0.2,0.9,0.07,0.0,101,93,17,0.0,0.44,0.056,149,58,3,29,0.0,77.44
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","Flavored milk, nonfat",90,2.79,15.87,14.72,0.0,1.77,1.13,0.445,0.079,8,0.043,0.116,0.125,0.046,0,14.4,0.0,0.9,0.04,0.0,105,96,17,0.0,0.46,0.057,156,60,3,29,0.0,78.76
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",Milk substitutes,92,1.29,16.02,14.07,0.2,2.64,1.202,0.799,0.496,5,0.013,0.09,0.224,0.015,0,11.3,0.0,0.9,1.13,1.04,119,33,15,0.27,0.23,0.127,98,73,3,29,0.0,79.32
"Chocolate milk, made from dry mix, NS as to type of milk","Flavored milk, reduced fat",72,3.41,10.13,9.63,0.3,2.01,1.232,0.4,0.061,8,0.054,0.132,0.115,0.112,0,17.0,1.7,1.0,0.03,0.0,146,102,15,0.0,0.82,0.057,164,45,0,17,0.0,83.63
"Chocolate milk, made from dry mix with whole milk","Flavored milk, whole",81,3.36,9.94,9.55,0.3,3.14,1.885,0.646,0.101,11,0.053,0.133,0.111,0.113,0,16.9,1.7,1.0,0.05,0.0,143,100,14,0.0,0.8,0.057,158,44,0,17,0.0,82.75
"Chocolate milk, made from dry mix with reduced fat milk","Flavored milk, reduced fat",72,3.42,10.16,9.62,0.3,1.92,1.182,0.375,0.054,8,0.056,0.132,0.117,0.113,0,17.3,1.9,1.0,0.03,0.0,146,102,15,0.0,0.82,0.057,166,45,0,17,0.0,83.68
"Chocolate milk, made from dry mix with low fat milk","Flavored milk, lowfat",65,3.45,10.43,9.69,0.3,1.03,0.673,0.197,0.03,5,0.054,0.135,0.118,0.112,0,16.5,1.7,1.0,0.02,0.0,146,102,15,0.0,0.82,0.057,166,45,0,17,0.0,84.25
